




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (1849)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
positive regulation of biosynthetic process (GO:0009891)	2004	286	179.92	+	1.59	1.60E-13	2.15E-11
inorganic ion transmembrane transport (GO:0098660)	637	124	57.19	+	2.17	1.65E-13	2.19E-11
regulation of cell development (GO:0060284)	500	105	44.89	+	2.34	1.95E-13	2.56E-11
cell morphogenesis involved in differentiation (GO:0000904)	559	113	50.19	+	2.25	2.19E-13	2.86E-11
ear development (GO:0043583)	220	63	19.75	+	3.19	2.28E-13	2.96E-11
sensory system development (GO:0048880)	374	87	33.58	+	2.59	2.34E-13	2.98E-11
negative regulation of cell communication (GO:0010648)	1401	217	125.78	+	1.73	2.33E-13	2.99E-11
camera-type eye development (GO:0043010)	317	78	28.46	+	2.74	3.37E-13	4.27E-11
chemotaxis (GO:0006935)	547	111	49.11	+	2.26	3.59E-13	4.50E-11
cell part morphogenesis (GO:0032990)	526	108	47.22	+	2.29	3.91E-13	4.86E-11
negative regulation of transcription, DNA-templated (GO:0045892)	1297	204	116.44	+	1.75	4.11E-13	5.07E-11
taxis (GO:0042330)	550	111	49.38	+	2.25	4.15E-13	5.08E-11
regulation of neurogenesis (GO:0050767)	364	85	32.68	+	2.60	4.29E-13	5.22E-11
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	204	116.62	+	1.75	4.35E-13	5.25E-11
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	277	174.26	+	1.59	4.49E-13	5.38E-11
regulation of response to stimulus (GO:0048583)	4306	524	386.59	+	1.36	4.93E-13	5.86E-11
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	268	167.26	+	1.60	5.73E-13	6.76E-11
negative regulation of RNA biosynthetic process (GO:1902679)	1301	204	116.80	+	1.75	6.27E-13	7.34E-11
eye development (GO:0001654)	364	84	32.68	+	2.57	8.35E-13	9.64E-11
neuron projection guidance (GO:0097485)	278	71	24.96	+	2.84	8.35E-13	9.71E-11
gland development (GO:0048732)	414	91	37.17	+	2.45	9.59E-13	1.10E-10
regulation of membrane potential (GO:0042391)	437	94	39.23	+	2.40	1.14E-12	1.30E-10
visual system development (GO:0150063)	368	84	33.04	+	2.54	1.23E-12	1.39E-10
chordate embryonic development (GO:0043009)	613	118	55.03	+	2.14	1.28E-12	1.43E-10
extracellular matrix organization (GO:0030198)	383	86	34.39	+	2.50	1.59E-12	1.77E-10
regulation of anatomical structure morphogenesis (GO:0022603)	967	162	86.82	+	1.87	1.63E-12	1.80E-10
cell fate specification (GO:0001708)	81	36	7.27	+	4.95	1.65E-12	1.81E-10
extracellular structure organization (GO:0043062)	384	86	34.48	+	2.49	1.73E-12	1.89E-10
axon guidance (GO:0007411)	277	70	24.87	+	2.81	1.77E-12	1.92E-10
nitrogen compound metabolic process (GO:0006807)	6886	472	618.22	-	.76	1.81E-12	1.95E-10
external encapsulating structure organization (GO:0045229)	386	86	34.65	+	2.48	2.08E-12	2.22E-10
skeletal system morphogenesis (GO:0048705)	224	61	20.11	+	3.03	3.31E-12	3.51E-10
cellular aromatic compound metabolic process (GO:0006725)	2937	161	263.68	-	.61	3.40E-12	3.59E-10
inorganic cation transmembrane transport (GO:0098662)	573	111	51.44	+	2.16	3.48E-12	3.65E-10
regulation of RNA biosynthetic process (GO:2001141)	3480	435	312.43	+	1.39	4.16E-12	4.33E-10
negative regulation of response to stimulus (GO:0048585)	1831	260	164.39	+	1.58	4.33E-12	4.47E-10
embryo development ending in birth or egg hatching (GO:0009792)	633	119	56.83	+	2.09	4.46E-12	4.54E-10
inner ear development (GO:0048839)	195	56	17.51	+	3.20	4.44E-12	4.55E-10
synapse organization (GO:0050808)	289	71	25.95	+	2.74	4.54E-12	4.60E-10
negative regulation of multicellular organismal process (GO:0051241)	1014	166	91.04	+	1.82	4.68E-12	4.71E-10
regulation of nucleic acid-templated transcription (GO:1903506)	3475	434	311.98	+	1.39	5.07E-12	5.04E-10
regulation of transcription, DNA-templated (GO:0006355)	3474	434	311.89	+	1.39	5.04E-12	5.04E-10
organelle organization (GO:0006996)	3567	209	320.24	-	.65	5.16E-12	5.10E-10
kidney development (GO:0001822)	282	70	25.32	+	2.76	5.26E-12	5.17E-10
movement of cell or subcellular component (GO:0006928)	1596	233	143.29	+	1.63	6.32E-12	6.17E-10
regulation of transmembrane transport (GO:0034762)	591	113	53.06	+	2.13	6.46E-12	6.27E-10
neuron migration (GO:0001764)	117	42	10.50	+	4.00	6.82E-12	6.57E-10
response to oxygen-containing compound (GO:1901700)	1604	234	144.01	+	1.62	6.86E-12	6.58E-10
telencephalon development (GO:0021537)	254	65	22.80	+	2.85	7.59E-12	7.23E-10
ion transmembrane transport (GO:0034220)	870	148	78.11	+	1.89	7.70E-12	7.25E-10
regulation of nitrogen compound metabolic process (GO:0051171)	5740	657	515.33	+	1.27	7.66E-12	7.25E-10
positive regulation of cell population proliferation (GO:0008284)	939	156	84.30	+	1.85	8.54E-12	7.99E-10
response to endogenous stimulus (GO:0009719)	1426	213	128.02	+	1.66	9.73E-12	9.04E-10
blood vessel development (GO:0001568)	492	99	44.17	+	2.24	1.01E-11	9.28E-10
potassium ion transmembrane transport (GO:0071805)	158	49	14.19	+	3.45	1.00E-11	9.28E-10
negative regulation of RNA metabolic process (GO:0051253)	1408	211	126.41	+	1.67	1.02E-11	9.30E-10
response to chemical (GO:0042221)	4381	523	393.32	+	1.33	1.04E-11	9.36E-10
response to organic substance (GO:0010033)	3008	384	270.06	+	1.42	1.03E-11	9.40E-10
regulation of secretion (GO:0051046)	639	118	57.37	+	2.06	1.40E-11	1.26E-09
regulation of locomotion (GO:0040012)	997	162	89.51	+	1.81	1.47E-11	1.31E-09
cation transmembrane transport (GO:0098655)	641	118	57.55	+	2.05	1.52E-11	1.35E-09
cellular response to stimulus (GO:0051716)	6807	756	611.13	+	1.24	1.59E-11	1.41E-09
vasculature development (GO:0001944)	514	101	46.15	+	2.19	1.71E-11	1.50E-09
primary metabolic process (GO:0044238)	7352	518	660.06	-	.78	1.73E-11	1.51E-09
biological adhesion (GO:0022610)	959	157	86.10	+	1.82	1.98E-11	1.72E-09
regulation of cellular component movement (GO:0051270)	1032	166	92.65	+	1.79	2.03E-11	1.76E-09
neuron fate commitment (GO:0048663)	62	30	5.57	+	5.39	2.27E-11	1.95E-09
reproductive system development (GO:0061458)	419	88	37.62	+	2.34	2.29E-11	1.96E-09
epithelial tube morphogenesis (GO:0060562)	309	72	27.74	+	2.60	2.36E-11	2.01E-09
muscle tissue development (GO:0060537)	301	71	27.02	+	2.63	2.38E-11	2.01E-09
regulation of primary metabolic process (GO:0080090)	5925	671	531.94	+	1.26	2.48E-11	2.09E-09
cell adhesion (GO:0007155)	953	156	85.56	+	1.82	2.50E-11	2.09E-09
response to stimulus (GO:0050896)	8540	915	766.71	+	1.19	2.97E-11	2.47E-09
reproductive structure development (GO:0048608)	416	87	37.35	+	2.33	3.45E-11	2.85E-09
organic cyclic compound metabolic process (GO:1901360)	3182	184	285.68	-	.64	3.66E-11	3.01E-09
striated muscle tissue development (GO:0014706)	286	68	25.68	+	2.65	3.69E-11	3.02E-09
signal transduction (GO:0007165)	5227	602	469.28	+	1.28	4.08E-11	3.33E-09
mRNA metabolic process (GO:0016071)	697	17	62.58	-	.27	4.22E-11	3.42E-09
regulation of RNA metabolic process (GO:0051252)	3782	459	339.54	+	1.35	4.41E-11	3.56E-09
heart morphogenesis (GO:0003007)	241	61	21.64	+	2.82	4.71E-11	3.78E-09
positive regulation of nervous system development (GO:0051962)	274	66	24.60	+	2.68	4.78E-11	3.82E-09
gene expression (GO:0010467)	2117	107	190.06	-	.56	4.99E-11	3.96E-09
potassium ion transport (GO:0006813)	167	49	14.99	+	3.27	5.11E-11	4.04E-09
ion transport (GO:0006811)	1200	184	107.73	+	1.71	5.39E-11	4.24E-09
negative regulation of neuron differentiation (GO:0045665)	70	31	6.28	+	4.93	6.13E-11	4.80E-09
detection of chemical stimulus (GO:0009593)	522	9	46.86	-	.19	7.58E-11	5.90E-09
negative regulation of signal transduction (GO:0009968)	1305	195	117.16	+	1.66	7.75E-11	6.01E-09
blood vessel morphogenesis (GO:0048514)	410	85	36.81	+	2.31	7.89E-11	6.05E-09
regulation of cellular metabolic process (GO:0031323)	6138	688	551.06	+	1.25	7.86E-11	6.06E-09
regulation of cell motility (GO:2000145)	954	154	85.65	+	1.80	7.97E-11	6.09E-09
RNA metabolic process (GO:0016070)	1582	71	142.03	-	.50	8.02E-11	6.10E-09
cation transport (GO:0006812)	824	138	73.98	+	1.87	9.32E-11	7.05E-09
endocrine system development (GO:0035270)	124	41	11.13	+	3.68	9.73E-11	7.33E-09
regulation of metabolic process (GO:0019222)	6874	756	617.14	+	1.23	1.18E-10	8.81E-09
regulation of secretion by cell (GO:1903530)	581	107	52.16	+	2.05	1.30E-10	9.69E-09
ear morphogenesis (GO:0042471)	120	40	10.77	+	3.71	1.35E-10	9.99E-09
regulation of cation transmembrane transport (GO:1904062)	378	80	33.94	+	2.36	1.40E-10	1.03E-08
cognition (GO:0050890)	298	68	26.75	+	2.54	1.72E-10	1.26E-08
pancreas development (GO:0031016)	69	30	6.19	+	4.84	1.77E-10	1.29E-08
sensory perception of smell (GO:0007608)	468	7	42.02	-	.17	1.80E-10	1.31E-08
cellular response to chemical stimulus (GO:0070887)	2914	366	261.62	+	1.40	2.29E-10	1.66E-08
regulation of blood circulation (GO:1903522)	278	65	24.96	+	2.60	2.38E-10	1.72E-08
cellular response to endogenous stimulus (GO:0071495)	1152	175	103.43	+	1.69	2.62E-10	1.88E-08
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	219	138.26	+	1.58	2.77E-10	1.98E-08
cellular metabolic process (GO:0044237)	7542	543	677.11	-	.80	3.37E-10	2.40E-08
muscle organ development (GO:0007517)	283	65	25.41	+	2.56	3.69E-10	2.61E-08
regulation of plasma membrane bounded cell projection organization (GO:0120035)	631	112	56.65	+	1.98	3.95E-10	2.79E-08
regulation of cell migration (GO:0030334)	892	144	80.08	+	1.80	4.17E-10	2.93E-08
regulation of cell projection organization (GO:0031344)	648	114	58.18	+	1.96	4.23E-10	2.96E-08
regulation of macromolecule metabolic process (GO:0060255)	6340	701	569.20	+	1.23	4.51E-10	3.14E-08
cell junction organization (GO:0034330)	502	95	45.07	+	2.11	5.26E-10	3.65E-08
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	219	139.25	+	1.57	5.52E-10	3.81E-08
negative regulation of cellular biosynthetic process (GO:0031327)	1610	225	144.54	+	1.56	6.11E-10	4.20E-08
organic substance metabolic process (GO:0071704)	7840	571	703.87	-	.81	6.52E-10	4.46E-08
spinal cord development (GO:0021510)	100	35	8.98	+	3.90	6.56E-10	4.47E-08
inner ear morphogenesis (GO:0042472)	101	35	9.07	+	3.86	8.14E-10	5.50E-08
macromolecule metabolic process (GO:0043170)	6151	429	552.23	-	.78	8.14E-10	5.52E-08
learning or memory (GO:0007611)	256	60	22.98	+	2.61	8.41E-10	5.66E-08
digestive system development (GO:0055123)	136	41	12.21	+	3.36	9.69E-10	6.49E-08
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	215	137.18	+	1.57	1.00E-09	6.68E-08
positive regulation of signal transduction (GO:0009967)	1584	221	142.21	+	1.55	1.06E-09	7.03E-08
regulation of hormone levels (GO:0010817)	538	98	48.30	+	2.03	1.26E-09	8.34E-08
protein-containing complex subunit organization (GO:0043933)	1605	77	144.10	-	.53	1.29E-09	8.52E-08
neuropeptide signaling pathway (GO:0007218)	109	36	9.79	+	3.68	1.36E-09	8.90E-08
cellular macromolecule catabolic process (GO:0044265)	925	33	83.05	-	.40	1.36E-09	8.93E-08
locomotory behavior (GO:0007626)	181	48	16.25	+	2.95	1.38E-09	8.96E-08
cellular protein-containing complex assembly (GO:0034622)	867	30	77.84	-	.39	1.92E-09	1.25E-07
regulation of cellular biosynthetic process (GO:0031326)	4163	486	373.75	+	1.30	1.94E-09	1.25E-07
regulation of neuron projection development (GO:0010975)	447	86	40.13	+	2.14	1.96E-09	1.25E-07
negative regulation of biosynthetic process (GO:0009890)	1643	226	147.51	+	1.53	1.96E-09	1.26E-07
connective tissue development (GO:0061448)	202	51	18.14	+	2.81	2.09E-09	1.33E-07
negative regulation of cell death (GO:0060548)	1008	154	90.50	+	1.70	2.56E-09	1.63E-07
regulation of hormone secretion (GO:0046883)	276	62	24.78	+	2.50	2.76E-09	1.75E-07
cellular process (GO:0009987)	15495	1503	1391.13	+	1.08	3.05E-09	1.92E-07
cardiac muscle tissue development (GO:0048738)	168	45	15.08	+	2.98	3.44E-09	2.16E-07
digestive tract development (GO:0048565)	126	38	11.31	+	3.36	3.90E-09	2.44E-07
regulation of peptide secretion (GO:0002791)	226	54	20.29	+	2.66	3.94E-09	2.45E-07
regulation of protein phosphorylation (GO:0001932)	1218	177	109.35	+	1.62	4.49E-09	2.78E-07
cell fate determination (GO:0001709)	43	22	3.86	+	5.70	4.70E-09	2.90E-07
regulation of peptide transport (GO:0090087)	228	54	20.47	+	2.64	4.76E-09	2.93E-07
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4049	472	363.52	+	1.30	4.82E-09	2.95E-07
regulation of biosynthetic process (GO:0009889)	4226	489	379.41	+	1.29	4.92E-09	3.00E-07
sensory perception of mechanical stimulus (GO:0050954)	177	46	15.89	+	2.89	5.14E-09	3.13E-07
positive regulation of protein phosphorylation (GO:0001934)	838	133	75.23	+	1.77	5.28E-09	3.19E-07
positive regulation of ion transport (GO:0043270)	297	64	26.66	+	2.40	5.32E-09	3.19E-07
negative regulation of programmed cell death (GO:0043069)	914	142	82.06	+	1.73	5.34E-09	3.20E-07
regulation of synaptic plasticity (GO:0048167)	188	48	16.88	+	2.84	5.28E-09	3.20E-07
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	222	53	19.93	+	2.66	5.70E-09	3.40E-07
regulation of heart contraction (GO:0008016)	230	54	20.65	+	2.62	5.86E-09	3.48E-07
embryonic skeletal system development (GO:0048706)	123	37	11.04	+	3.35	6.59E-09	3.90E-07
mesenchyme development (GO:0060485)	224	53	20.11	+	2.64	6.86E-09	4.05E-07
formation of primary germ layer (GO:0001704)	112	35	10.06	+	3.48	7.48E-09	4.40E-07
negative regulation of apoptotic process (GO:0043066)	895	139	80.35	+	1.73	7.55E-09	4.42E-07
ncRNA processing (GO:0034470)	436	8	39.14	-	.20	7.89E-09	4.60E-07
positive regulation of phosphate metabolic process (GO:0045937)	998	151	89.60	+	1.69	7.96E-09	4.61E-07
positive regulation of phosphorus metabolic process (GO:0010562)	998	151	89.60	+	1.69	7.96E-09	4.63E-07
regulation of phosphorylation (GO:0042325)	1391	195	124.88	+	1.56	8.46E-09	4.88E-07
response to organic cyclic compound (GO:0014070)	900	139	80.80	+	1.72	8.59E-09	4.94E-07
cardiac chamber morphogenesis (GO:0003206)	119	36	10.68	+	3.37	9.29E-09	5.32E-07
positive regulation of neurogenesis (GO:0050769)	227	53	20.38	+	2.60	9.38E-09	5.36E-07
metabolic process (GO:0008152)	8313	621	746.33	-	.83	9.72E-09	5.53E-07
regulation of synapse structure or activity (GO:0050803)	221	52	19.84	+	2.62	1.09E-08	6.19E-07
nephron development (GO:0072006)	126	37	11.31	+	3.27	1.12E-08	6.34E-07
macromolecule catabolic process (GO:0009057)	1058	44	94.99	-	.46	1.14E-08	6.44E-07
gastrulation (GO:0007369)	157	42	14.10	+	2.98	1.17E-08	6.56E-07
positive regulation of phosphorylation (GO:0042327)	921	141	82.69	+	1.71	1.19E-08	6.67E-07
regulation of peptide hormone secretion (GO:0090276)	222	52	19.93	+	2.61	1.21E-08	6.74E-07
regulation of cell death (GO:0010941)	1668	224	149.75	+	1.50	1.53E-08	8.47E-07
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3968	460	356.24	+	1.29	1.57E-08	8.69E-07
